index,Restaurant,URL,Rating,Number_of_reviews,Address,Marquee,Distribution,DollarSigns,RestaurantType
2923,Momo & Pizza Ghar,https://www.tripadvisor.com/Restaurant_Review-g58702-d19089915-Reviews-Momo_Pizza_Ghar-Redmond_Washington.html,5,1,"2560 152ND Ave NE # C Redmond WA 98052, Redmond, WA 98052-5535",#88 of 125 Restaurants in Redmond,"[1, 0, 0, 0, 0]",,
2924,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g58349-d4111571-Reviews-Starbucks-Bellevue_Washington.html,3.5,6,"661 120th Ave NE, Bellevue, WA 98005-3047",#24 of 31 Coffee & Tea in Bellevue,"[1, 1, 3, 0, 0]",,
2925,LuoSiFen Noodle,https://www.tripadvisor.com/Restaurant_Review-g60878-d18919821-Reviews-LuoSiFen_Noodle-Seattle_Washington.html,5,1,"514 S King St, Seattle, WA 98104-2834","#1,783 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2926,Pagliacci,https://www.tripadvisor.com/Restaurant_Review-g60878-d4247962-Reviews-Pagliacci-Seattle_Washington.html,3.5,6,"1614 W Dravus St, Seattle, WA 98119-1721","#1,784 of 2,182 Restaurants in Seattle","[2, 2, 1, 0, 1]",,
2927,Basil Box,https://www.tripadvisor.com/Restaurant_Review-g60878-d4517942-Reviews-Basil_Box-Seattle_Washington.html,4.5,2,"701 5th Ave Ste 105, Seattle, WA 98104-1952","#1,785 of 2,182 Restaurants in Seattle","[1, 1, 0, 0, 0]",,
2928,L'Experience Paris,https://www.tripadvisor.com/Restaurant_Review-g58605-d19932325-Reviews-L_Experience_Paris-Mercer_Island_Washington.html,3.5,8,"3020 78th Ave SE, Mercer Island, WA 98040-2823",#21 of 26 Restaurants in Mercer Island,"[2, 2, 2, 1, 1]",,
2929,Hui Lan Shan,https://www.tripadvisor.com/Restaurant_Review-g58702-d18893369-Reviews-Hui_Lan_Shan-Redmond_Washington.html,4,2,"15120 NE 24th St, Redmond, WA 98052-5530",#89 of 125 Restaurants in Redmond,"[1, 0, 1, 0, 0]",,
2930,Freshii,https://www.tripadvisor.com/Restaurant_Review-g58349-d10483166-Reviews-Freshii-Bellevue_Washington.html,4,3,"575 Bellevue Way SE # 2039, Bellevue, WA 98004-6619",#249 of 316 Restaurants in Bellevue,"[1, 1, 1, 0, 0]",,Healthy
2931,Chef King,https://www.tripadvisor.com/Restaurant_Review-g60878-d17826815-Reviews-Chef_King-Seattle_Washington.html,5,1,"101 N 85th Street Ste 102, Seattle, WA 98103","#1,786 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2932,Pizza Ragazzi,https://www.tripadvisor.com/Restaurant_Review-g60878-d432234-Reviews-Pizza_Ragazzi-Seattle_Washington.html,3.5,5,"5201 University Way NE Ste D, Seattle, WA 98105-1904","#1,787 of 2,182 Restaurants in Seattle","[1, 2, 0, 1, 0]",,Pizza
2933,Fat & Feathers,https://www.tripadvisor.com/Restaurant_Review-g58349-d13553426-Reviews-Fat_Feathers-Bellevue_Washington.html,3.5,6,"700 Bellevue Square Food Court Lincoln Square South, Bellevue, WA 98004-5046",#250 of 316 Restaurants in Bellevue,"[3, 1, 0, 0, 2]",,
2934,Taco Del Mar,https://www.tripadvisor.com/Restaurant_Review-g58704-d17510600-Reviews-Taco_Del_Mar-Renton_Washington.html,5,1,"1785 NE 44th Street, Renton, WA 98056",#133 of 199 Restaurants in Renton,"[1, 0, 0, 0, 0]",,
2935,Thai-U-Up,https://www.tripadvisor.com/Restaurant_Review-g60878-d15174394-Reviews-Thai_U_Up-Seattle_Washington.html,5,1,"2851 SW Roxbury St, Seattle, WA 98126-4148","#1,788 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2936,Tortas Locas,https://www.tripadvisor.com/Restaurant_Review-g58375-d4859316-Reviews-Tortas_Locas-Burien_Washington.html,4.5,2,"14912 Ambaum Blvd SW, Burien, WA 98166-1848",#56 of 70 Restaurants in Burien,"[1, 1, 0, 0, 0]",,
2937,China Gourmet,https://www.tripadvisor.com/Restaurant_Review-g60878-d2385527-Reviews-China_Gourmet-Seattle_Washington.html,4.5,4,"14411 Greenwood Ave N, Seattle, WA 98133-6814","#1,789 of 2,182 Restaurants in Seattle","[2, 1, 0, 0, 0]",,Chinese
2938,Ming China Bistro,https://www.tripadvisor.com/Restaurant_Review-g60878-d7356760-Reviews-Ming_China_Bistro-Seattle_Washington.html,4.5,2,"7119 Woodlawn Ave NE, Seattle, WA 98115-5434","#1,790 of 2,182 Restaurants in Seattle","[1, 1, 0, 0, 0]",,ChineseImperial Chinese
2939,Satay Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d15172749-Reviews-Satay_Bar-Seattle_Washington.html,5,2,"8317 Greenwood Ave N, Seattle, WA 98103-4234","#1,791 of 2,182 Restaurants in Seattle","[2, 0, 0, 0, 0]",,Thai
2940,Hooverville Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d907158-Reviews-Hooverville_Bar-Seattle_Washington.html,4,10,"1721 1st Ave S, Seattle, WA 98134-1403","#1,792 of 2,182 Restaurants in Seattle","[4, 4, 0, 0, 2]",,
2941,R & M Dessert Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d17625959-Reviews-R_M_Dessert_Bar-Seattle_Washington.html,5,1,"601 E Pike St, Seattle, WA 98122-5466","#1,793 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2942,Bigtuna Japanese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d17599754-Reviews-Bigtuna_Japanese_Restaurant-Seattle_Washington.html,5,1,"4336 Roosevelt Way NE, Seattle, WA 98105-4764","#1,794 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2943,Domino's Pizza,https://www.tripadvisor.com/Restaurant_Review-g60878-d15251755-Reviews-Domino_s_Pizza-Seattle_Washington.html,5,1,"11025 5th Ave NE, Seattle, WA 98125","#1,795 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2944,Cultivate,https://www.tripadvisor.com/Restaurant_Review-g60878-d4818339-Reviews-Cultivate-Seattle_Washington.html,4,3,"1218 NE Campus Pkwy Elm Hall on the UW campus, Seattle, WA 98105-6616","#1,796 of 2,182 Restaurants in Seattle","[0, 1, 1, 0, 0]",,
2945,Big Chicken,https://www.tripadvisor.com/Restaurant_Review-g58704-d26870624-Reviews-Big_Chicken-Renton_Washington.html,4,1,"921 N 10th St Ste A, Renton, WA 98057",#134 of 199 Restaurants in Renton,"[0, 1, 0, 0, 0]",,
2946,Taste Of Xi'an,https://www.tripadvisor.com/Restaurant_Review-g60878-d25470785-Reviews-Taste_Of_Xi_an-Seattle_Washington.html,4,1,"4523 The Ave, Seattle, WA 98105","#1,797 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 0]",,
2947,Papi's Cantina,https://www.tripadvisor.com/Restaurant_Review-g58541-d17511441-Reviews-Papi_s_Cantina-Kirkland_Washington.html,3.5,4,"148 Lake St S, Kirkland, WA 98033-6418",#118 of 147 Restaurants in Kirkland,"[1, 0, 3, 0, 0]",,
2948,Market Fresh,https://www.tripadvisor.com/Restaurant_Review-g58349-d8279182-Reviews-Market_Fresh-Bellevue_Washington.html,4.5,2,"601 108th Ave NE Key Center, Bellevue, WA 98004-4383",#251 of 316 Restaurants in Bellevue,"[0, 1, 0, 0, 0]",,
2949,KFC,https://www.tripadvisor.com/Restaurant_Review-g60878-d5046652-Reviews-KFC-Seattle_Washington.html,4,3,"2201 4th Ave S, Seattle, WA 98134-1516","#1,798 of 2,182 Restaurants in Seattle","[1, 0, 1, 0, 0]",,American
2950,Just Tiffins,https://www.tripadvisor.com/Restaurant_Review-g58349-d12635497-Reviews-Just_Tiffins-Bellevue_Washington.html,3.5,7,"15600, ne 80th Street Crossroads Mall Food Court, Bellevue, WA 98007",#252 of 316 Restaurants in Bellevue,"[4, 0, 1, 0, 2]",$$ - $$$,Indian
2951,Taco Bell,https://www.tripadvisor.com/Restaurant_Review-g58349-d4761966-Reviews-Taco_Bell-Bellevue_Washington.html,3.5,4,"3705 Factoria Blvd SE, Bellevue, WA 98006",#253 of 316 Restaurants in Bellevue,"[0, 2, 2, 0, 0]",,Mexican
2952,Gyro On Lake City,https://www.tripadvisor.com/Restaurant_Review-g60878-d17111255-Reviews-Gyro_On_Lake_City-Seattle_Washington.html,5,1,"12340 Lake City Way NE, Seattle, WA 98125, Seattle, WA 98125-5402","#1,799 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2953,Cafe Avole,https://www.tripadvisor.com/Restaurant_Review-g60878-d16880920-Reviews-Cafe_Avole-Seattle_Washington.html,5,1,"6630 Rainier Ave S, Seattle, WA 98118-3350","#1,800 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,Cafe
2954,Denny's,https://www.tripadvisor.com/Restaurant_Review-g60878-d4255910-Reviews-Denny_s-Seattle_Washington.html,3.5,13,"2762 4TH Avenue S, Seattle, WA 98134","#1,801 of 2,182 Restaurants in Seattle","[2, 4, 4, 0, 1]",$,AmericanDiner
2955,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g58349-d4733098-Reviews-Starbucks-Bellevue_Washington.html,3.5,6,"1510 145th Pl SE, Bellevue, WA 98007-5593",#25 of 31 Coffee & Tea in Bellevue,"[1, 0, 0, 1, 0]",$,AmericanCafe
2956,7-Eleven,https://www.tripadvisor.com/Restaurant_Review-g60878-d13840935-Reviews-7_Eleven-Seattle_Washington.html,5,1,"362 Denny Way, Seattle, WA 98109-4912","#1,802 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2957,Cherry Street Thai,https://www.tripadvisor.com/Restaurant_Review-g60878-d12643851-Reviews-Cherry_Street_Thai-Seattle_Washington.html,3.5,4,"2724 E Cherry St, Seattle, WA 98122-4936","#1,803 of 2,182 Restaurants in Seattle","[1, 0, 3, 0, 0]",,
2958,Just The Tap - Seattle,https://www.tripadvisor.com/Restaurant_Review-g60878-d25454187-Reviews-Just_The_Tap_Seattle-Seattle_Washington.html,4,1,"90 Blanchard St., Seattle, WA 98121","#1,804 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 0]",,BrazilianPizzaSouth AmericanBeer restaurants
2959,Pressed Juicery,https://www.tripadvisor.com/Restaurant_Review-g58349-d15171902-Reviews-Pressed_Juicery-Bellevue_Washington.html,5,1,"545A Bellevue Square, Bellevue, WA 98004",#254 of 316 Restaurants in Bellevue,"[1, 0, 0, 0, 0]",,
2960,Sweet Dahlia Baking,https://www.tripadvisor.com/Restaurant_Review-g58342-d14939900-Reviews-Sweet_Dahlia_Baking-Bainbridge_Island_Washington.html,5,1,"9720 Coppertop Loop NE Ste 103, Bainbridge Island, WA 98110-3690",#39 of 41 Restaurants in Bainbridge Island,"[1, 0, 0, 0, 0]",$,American
2961,Ben & Esther's Vegan Jewish Deli,https://www.tripadvisor.com/Restaurant_Review-g60878-d25261768-Reviews-Ben_Esther_s_Vegan_Jewish_Deli-Seattle_Washington.html,4,1,"907 E Pike St, Seattle, WA 98122-3816","#1,805 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 0]",,
2962,Blank Space Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d14862003-Reviews-Blank_Space_Cafe-Seattle_Washington.html,4,2,"2126 2nd Ave, Seattle, WA 98121-2208",#203 of 225 Coffee & Tea in Seattle,"[0, 2, 0, 0, 0]",,DessertAmericanCafe
2963,Midori Teriyaki,https://www.tripadvisor.com/Restaurant_Review-g58541-d4648048-Reviews-Midori_Teriyaki-Kirkland_Washington.html,4.5,2,"6531 132nd Ave NE, Kirkland, WA 98033-8628",#119 of 147 Restaurants in Kirkland,"[1, 1, 0, 0, 0]",,
2964,Little Coney,https://www.tripadvisor.com/Restaurant_Review-g60878-d479767-Reviews-Little_Coney-Seattle_Washington.html,3,20,"8003 Seaview Ave NW, Seattle, WA 98117-6040",#297 of 302 Quick Bites in Seattle,"[2, 5, 9, 2, 2]",$$ - $$$,Quick BitesAmericanDiner
2965,Sakana Sushi & Kitchen,https://www.tripadvisor.com/Restaurant_Review-g60878-d26732961-Reviews-Sakana_Sushi_Kitchen-Seattle_Washington.html,4,1,"1520 15th Ave, Seattle, WA 98122","#1,806 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 0]",,JapaneseJapanese Fusion
2966,SEA Crab House - Seattle,https://www.tripadvisor.com/Restaurant_Review-g60878-d26714541-Reviews-SEA_Crab_House_Seattle-Seattle_Washington.html,4,1,"166 South King Street, Seattle, WA 98104","#1,807 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 0]",,Cajun & CreoleSeafoodFusion
2967,Little Maria's Pizza,https://www.tripadvisor.com/Restaurant_Review-g60878-d12717284-Reviews-Little_Maria_s_Pizza-Seattle_Washington.html,3.5,4,"1809 Minor St, Seattle, WA 98101-1490","#1,808 of 2,182 Restaurants in Seattle","[0, 2, 2, 0, 0]",,Pizza
2968,Egan's Ballard Jam House,https://www.tripadvisor.com/Restaurant_Review-g60878-d4403750-Reviews-Egan_s_Ballard_Jam_House-Seattle_Washington.html,3.5,3,"1707 NW Market St, Seattle, WA 98107-5225","#1,809 of 2,182 Restaurants in Seattle","[0, 2, 1, 0, 0]",,
2969,1201 Caffe',https://www.tripadvisor.com/Restaurant_Review-g60878-d4846057-Reviews-1201_Caffe-Seattle_Washington.html,5,1,"1201 3rd Ave, Seattle, WA 98101-3029","#1,810 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2970,Mayuri Bakery,https://www.tripadvisor.com/Restaurant_Review-g58702-d8654488-Reviews-Mayuri_Bakery-Redmond_Washington.html,3,11,"2560 152nd Ave NE Suite a, Redmond, WA 98052-5535",#6 of 8 Bakeries in Redmond,"[1, 3, 5, 1, 1]",$$ - $$$,BakeriesIndian
2971,Che Dessert,https://www.tripadvisor.com/Restaurant_Review-g60878-d15637732-Reviews-Che_Dessert-Seattle_Washington.html,5,1,"7101 Martin Luther King Jr Way S Ste 102, Seattle, WA 98118-3594","#1,811 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2972,OHSUN Banchan Deli & Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d25263743-Reviews-OHSUN_Banchan_Deli_Cafe-Seattle_Washington.html,3.5,2,"221 1st Ave S, Seattle, WA 98104-2503","#1,812 of 2,182 Restaurants in Seattle","[0, 1, 1, 0, 0]",,
2973,Hurry Curry of Tokyo,https://www.tripadvisor.com/Restaurant_Review-g60878-d9821588-Reviews-Hurry_Curry_of_Tokyo-Seattle_Washington.html,3,19,"825 Harrison St, Seattle, WA 98109-5125","#1,813 of 2,182 Restaurants in Seattle","[3, 7, 0, 4, 3]",$,JapaneseAsianVegetarian Friendly
2974,Spinnaker Bay Brewing,https://www.tripadvisor.com/Restaurant_Review-g60878-d8867682-Reviews-Spinnaker_Bay_Brewing-Seattle_Washington.html,4.5,2,"5718 Rainier Ave S, Seattle, WA 98118-2704","#1,814 of 2,182 Restaurants in Seattle","[1, 1, 0, 0, 0]",$,Brew Pub
2975,Beacon Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d12675735-Reviews-Beacon_Grill-Seattle_Washington.html,3.5,4,"4101 Beacon Ave S, Seattle, WA 98108-1522","#1,815 of 2,182 Restaurants in Seattle","[1, 0, 3, 0, 0]",$$ - $$$,AmericanBarGrill
2976,Senor Taco,https://www.tripadvisor.com/Restaurant_Review-g58349-d15172813-Reviews-Senor_Taco-Bellevue_Washington.html,5,1,"14339 NE 20th St Ste D, Bellevue, WA 98007-3735",#255 of 316 Restaurants in Bellevue,"[1, 0, 0, 0, 0]",,
2977,Madrona Arms,https://www.tripadvisor.com/Restaurant_Review-g60878-d9603516-Reviews-Madrona_Arms-Seattle_Washington.html,3.5,11,"1138 34th Ave, Seattle, WA 98122-5139","#1,816 of 2,182 Restaurants in Seattle","[2, 4, 3, 1, 1]",$$ - $$$,BarPub
2978,Pasteleria Y Panaderia La Ideal,https://www.tripadvisor.com/Restaurant_Review-g60878-d14802918-Reviews-Pasteleria_Y_Panaderia_La_Ideal-Seattle_Washington.html,5,1,"909 14th Ave, Seattle, WA 98122-4509","#1,817 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2979,Harbor Place Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d432672-Reviews-Harbor_Place_Restaurant-Seattle_Washington.html,4,3,"96 Union St, Seattle, WA 98101-2026","#1,818 of 2,182 Restaurants in Seattle","[1, 1, 1, 0, 0]",,SeafoodMediterranean
2980,Seven Market & Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d10202211-Reviews-Seven_Market_Cafe-Seattle_Washington.html,5,1,"2007 NE Ravenna Blvd, Seattle, WA 98105-2402","#1,819 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",$$ - $$$,AmericanCafeWine Bar
2981,Asean Streat Food Hall,https://www.tripadvisor.com/Restaurant_Review-g60878-d25261777-Reviews-Asean_Streat_Food_Hall-Seattle_Washington.html,3.5,2,"400 Pine St #136, Seattle, WA 98101-3625","#1,820 of 2,182 Restaurants in Seattle","[0, 1, 1, 0, 0]",,
2982,Dan's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g60878-d10082334-Reviews-Dan_s_Kitchen-Seattle_Washington.html,3.5,2,"6552 15th Ave NE, Seattle, WA 98115-6833","#1,821 of 2,182 Restaurants in Seattle","[1, 0, 0, 1, 0]",,
2983,Domino's Pizza,https://www.tripadvisor.com/Restaurant_Review-g60878-d15251761-Reviews-Domino_s_Pizza-Seattle_Washington.html,5,1,"6540 #B California Ave. SW Ste B, Seattle, WA 98136","#1,822 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2984,Eight Bells Winery,https://www.tripadvisor.com/Restaurant_Review-g60878-d12354601-Reviews-Eight_Bells_Winery-Seattle_Washington.html,5,1,"6213 Roosevelt Way NE # B, Seattle, WA 98115-6614","#1,823 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",$$ - $$$,BarPub
2985,Tundra Taqueria,https://www.tripadvisor.com/Restaurant_Review-g60878-d26439666-Reviews-Tundra_Taqueria-Seattle_Washington.html,4,1,"17801 International Boulevard, Seattle, WA 98158",#57 of 69 Bars & Pubs in Seattle,"[0, 1, 0, 0, 0]",,Mexican
2986,Pho Hiho,https://www.tripadvisor.com/Restaurant_Review-g60878-d432326-Reviews-Pho_Hiho-Seattle_Washington.html,3.5,6,"5963 Corson Ave S Ste 172, Seattle, WA 98108-2619","#1,825 of 2,182 Restaurants in Seattle","[2, 1, 2, 0, 1]",,Vietnamese
2987,Teasome,https://www.tripadvisor.com/Restaurant_Review-g60878-d15174298-Reviews-Teasome-Seattle_Washington.html,4,2,"6412 Phinney Ave N, Seattle, WA 98103-5518","#1,826 of 2,182 Restaurants in Seattle","[1, 0, 1, 0, 0]",$,Chinese
2988,Nara Chinese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g58740-d5489900-Reviews-Nara_Chinese_Restaurant-Shoreline_Washington.html,3.5,4,"15033 Aurora Ave N, Shoreline, WA 98133-6134",#42 of 55 Restaurants in Shoreline,"[1, 1, 1, 1, 0]",$$ - $$$,Chinese
2989,Papas Hot Potatoes,https://www.tripadvisor.com/Restaurant_Review-g60878-d15244180-Reviews-Papas_Hot_Potatoes-Seattle_Washington.html,4,2,"500 NW 65th St, Seattle, WA 98117-5028","#1,827 of 2,182 Restaurants in Seattle","[1, 0, 1, 0, 0]",$,American
2990,Dos Chamucos Taqueria,https://www.tripadvisor.com/Restaurant_Review-g60878-d23794379-Reviews-Dos_Chamucos_Taqueria-Seattle_Washington.html,3.5,2,"550 Queen Anne Ave N, Seattle, WA 98109","#1,828 of 2,182 Restaurants in Seattle","[1, 0, 0, 1, 0]",,Mexican
2991,Qdoba Mexican Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d464224-Reviews-Qdoba_Mexican_Grill-Seattle_Washington.html,4,4,"10002 Aurora Ave N, Seattle, WA 98133-9347","#1,829 of 2,182 Restaurants in Seattle","[2, 0, 1, 1, 0]",,Mexican
2992,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g58349-d5521828-Reviews-Starbucks-Bellevue_Washington.html,4,3,"626 106th Ave NE, Bellevue, WA 98004-5003",#26 of 31 Coffee & Tea in Bellevue,"[0, 3, 0, 0, 0]",,
2993,Sunny Teriyaki,https://www.tripadvisor.com/Restaurant_Review-g58791-d19660475-Reviews-Sunny_Teriyaki-Tukwila_Washington.html,4,1,"13038 Interurban Ave S, Tukwila, WA 98168-3313",#63 of 90 Restaurants in Tukwila,"[0, 1, 0, 0, 0]",,
2994,SoDo Poke and More,https://www.tripadvisor.com/Restaurant_Review-g60878-d15036388-Reviews-SoDo_Poke_and_More-Seattle_Washington.html,5,1,"2420 1st Ave S, Seattle, WA 98134-1422","#1,830 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,Hawaiian
2995,Waterwheel Tavern,https://www.tripadvisor.com/Restaurant_Review-g60878-d4731433-Reviews-Waterwheel_Tavern-Seattle_Washington.html,4,3,"7034 15th Ave NW, Seattle, WA 98117-5501","#1,831 of 2,182 Restaurants in Seattle","[1, 1, 1, 0, 0]",,Pub
2996,Bar Solea,https://www.tripadvisor.com/Restaurant_Review-g60878-d25263738-Reviews-Bar_Solea-Seattle_Washington.html,4,1,"822 1st Ave Exchange Building, Seattle, WA 98104-1405","#1,832 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 0]",,
2997,Bun,https://www.tripadvisor.com/Restaurant_Review-g60878-d4326752-Reviews-Bun-Seattle_Washington.html,4,5,"516 7th Ave S, Seattle, WA 98104-2906","#1,833 of 2,182 Restaurants in Seattle","[1, 2, 2, 0, 0]",,Vietnamese
2998,Golden Daisy Garden,https://www.tripadvisor.com/Restaurant_Review-g60878-d432331-Reviews-Golden_Daisy_Garden-Seattle_Washington.html,4,3,"2518 Beacon Ave S, Seattle, WA 98144-5126","#1,834 of 2,182 Restaurants in Seattle","[0, 3, 0, 0, 0]",,Chinese
2999,Caffe Ladro Kirkland Urban,https://www.tripadvisor.com/Restaurant_Review-g58541-d25612853-Reviews-Caffe_Ladro_Kirkland_Urban-Kirkland_Washington.html,4,1,"400 Urban Plaza, Kirkland, WA 98033",#12 of 13 Coffee & Tea in Kirkland,"[0, 1, 0, 0, 0]",,
3000,Sully's Lounge,https://www.tripadvisor.com/Restaurant_Review-g60878-d4455426-Reviews-Sully_s_Lounge-Seattle_Washington.html,3,2,"1625 Queen Anne Ave N, Seattle, WA 98109-2819","#1,835 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 1]",,
3001,Little Kitchen,https://www.tripadvisor.com/Restaurant_Review-g60878-d15007633-Reviews-Little_Kitchen-Seattle_Washington.html,5,1,"4508 University Way NE, Seattle, WA 98105-4511","#1,836 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
3002,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g60878-d4882736-Reviews-Starbucks-Seattle_Washington.html,4,2,"2344 Eastlake Ave E, Seattle, WA 98102-3306",#204 of 225 Coffee & Tea in Seattle,"[0, 2, 0, 0, 0]",,
3003,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g58349-d6563605-Reviews-Starbucks-Bellevue_Washington.html,4.5,2,"3560C Factoria Blvd SE Factoria Village, Bellevue, WA 98006-6126",#27 of 31 Coffee & Tea in Bellevue,"[0, 1, 0, 0, 0]",,
3004,Noodle Nation,https://www.tripadvisor.com/Restaurant_Review-g60878-d4231516-Reviews-Noodle_Nation-Seattle_Washington.html,3.5,9,"4232 University Way NE, Seattle, WA 98105-5807","#1,837 of 2,182 Restaurants in Seattle","[1, 6, 0, 1, 1]",$,Asian
3005,85C Bakery Cafe,https://www.tripadvisor.com/Restaurant_Review-g58349-d25465565-Reviews-85C_Bakery_Cafe-Bellevue_Washington.html,4,1,"14701 NE 20th St, Bellevue, WA 98007",#14 of 16 Bakeries in Bellevue,"[0, 1, 0, 0, 0]",,BakeriesAsianTaiwanese
3006,Red Robin Gourmet Burgers,https://www.tripadvisor.com/Restaurant_Review-g58349-d3899505-Reviews-Red_Robin_Gourmet_Burgers-Bellevue_Washington.html,3,41,"3909 Factoria Blvd SE, Bellevue, WA 98006-6148",#256 of 316 Restaurants in Bellevue,"[5, 13, 10, 6, 5]",$$ - $$$,AmericanBarVegetarian Friendly
3007,Qdoba Mexican Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d3492717-Reviews-Qdoba_Mexican_Grill-Seattle_Washington.html,3.5,12,"217 Pike St, Seattle, WA 98101-2107",#298 of 302 Quick Bites in Seattle,"[0, 4, 3, 2, 0]",$,Quick BitesMexicanFast Food
3008,Soi Restaurant And Bar,https://www.tripadvisor.com/Restaurant_Review-g58541-d25108544-Reviews-Soi_Restaurant_And_Bar-Kirkland_Washington.html,4,1,"425 Urban Plz Ste 285, Kirkland, WA 98033-5371",#120 of 147 Restaurants in Kirkland,"[0, 1, 0, 0, 0]",,BarAsianThaiPub
3009,La Botana,https://www.tripadvisor.com/Restaurant_Review-g60878-d5489955-Reviews-La_Botana-Seattle_Washington.html,4,3,"8852 Greenwood Ave N, Seattle, WA 98103","#1,838 of 2,182 Restaurants in Seattle","[0, 3, 0, 0, 0]",,
